id,file_path,speech,speaker
clb_b0357,train/clb/arctic_b0357.wav,The Law of Club and Fang,clb
fem_a0224,train/fem/arctic_a0224.wav,"She nodded, and her eyes grew soft and moist.",fem
clb_a0551,train/clb/arctic_a0551.wav,All an appearance can know is mirage.,clb
awb_b0319,train/awb/arctic_b0319.wav,"Daylight was tired, profoundly tired.",awb
slt_a0174,train/slt/arctic_a0174.wav,They were the presage of storm.,slt
ljm_a0206,train/ljm/arctic_a0206.wav,He says he bought him of Jacques Le Beau.,ljm
bdl_b0474,train/bdl/arctic_b0474.wav,He was manifestly distressed by my coming.,bdl
axb_a0495,train/axb/arctic_a0495.wav,He bore no grudges and had few enemies.,axb
awb_a0164,train/awb/arctic_a0164.wav,"That's the sub-foreman, explained Thorpe.",awb
jmk_a0399,train/jmk/arctic_a0399.wav,And here's another idea.,jmk
rms_a0043,train/rms/arctic_a0043.wav,It seemed nearer to him since he had seen and talked with Gregson.,rms
rxr_a0302,train/rxr/arctic_a0302.wav,"It is very plausible to such people, a most convincing hypothesis.",rxr
clb_b0444,train/clb/arctic_b0444.wav,He did not know what went on in the minds of his superiors.,clb
ksp_b0527,train/ksp/arctic_b0527.wav,The very idea of it was preposterous.,ksp
axb_a0340,train/axb/arctic_a0340.wav,It was like the beating of hoofs.,axb
aup_a0485,train/aup/arctic_a0485.wav,Each insult added to the value of the claim.,aup
ahw_a0584,train/ahw/arctic_a0584.wav,I have long noted your thirst unquenchable. ,ahw
aew_b0300,train/aew/arctic_b0300.wav,Does the old boy often go off at half-cock that way.,aew
lnh_b0166,train/lnh/arctic_b0166.wav,"Fast, but endure.",lnh
ahw_a0005,train/ahw/arctic_a0005.wav,Will we ever forget it. ,ahw
awb_b0164,train/awb/arctic_b0164.wav,They laughed like two happy children.,awb
ljm_a0501,train/ljm/arctic_a0501.wav,"You're joking me, sir, the other managed to articulate.",ljm
slp_a0221,train/slp/arctic_a0221.wav,I don't know why you're here at all.,slp
clb_b0028,train/clb/arctic_b0028.wav,Lord Fitzhugh is the key to the whole situation.,clb
rms_a0219,train/rms/arctic_a0219.wav,At first he puzzled over something untoward he was sure had happened.,rms
awb_b0425,train/awb/arctic_b0425.wav,"It is a very tenable hypothesis, and will bear looking into.",awb
slp_a0034,train/slp/arctic_a0034.wav,Men of Selden's stamp don't stop at women and children.,slp
eey_a0004,train/eey/arctic_a0004.wav,"Lord, but I'm glad to see you again, Phil.",eey
lnh_a0556,train/lnh/arctic_a0556.wav,"Why, he's bought forty pounds of goods from you already.",lnh
rms_b0090,train/rms/arctic_b0090.wav,The Churchill narrowed and its current became swifter as they progressed.,rms
jmk_b0017,train/jmk/arctic_b0017.wav,"Everything was working smoothly, better than I had expected.",jmk
aup_a0456,train/aup/arctic_a0456.wav,"But it won't continue, she said with easy confidence.",aup
rms_b0059,train/rms/arctic_b0059.wav,In moments of mental energy Philip was restless.,rms
slt_a0118,train/slt/arctic_a0118.wav,Pierre obeys me when we are together.,slt
slt_a0229,train/slt/arctic_a0229.wav,The last one I knew was an overseer.,slt
slt_a0030,train/slt/arctic_a0030.wav,I had faith in them.,slt
ljm_a0120,train/ljm/arctic_a0120.wav,My right foot feels like that of a Chinese debutante.,ljm
slt_b0151,train/slt/arctic_b0151.wav,"It was steel, a fisher trap.",slt
clb_a0331,train/clb/arctic_a0331.wav,Poor little Crooked-Leg was terribly scared.,clb
clb_a0145,train/clb/arctic_a0145.wav,"I have to be careful of them, as they tear very easily.",clb
slp_a0167,train/slp/arctic_a0167.wav,"I was near the cabin, and saw you.",slp
jmk_a0254,train/jmk/arctic_a0254.wav,"Straight out they swam, their heads growing smaller and smaller.",jmk
awb_b0449,train/awb/arctic_b0449.wav,O'Brien emitted a shriek that sank swiftly to a gurgling sob.,awb
clb_a0063,train/clb/arctic_a0063.wav,"Yes, it was a man who asked, a stranger.",clb
rms_a0045,train/rms/arctic_a0045.wav,He moved away as quietly as he had come.,rms
ksp_b0118,train/ksp/arctic_b0118.wav,"We saw your light, and thought you wouldn't mind a call.",ksp
jmk_a0360,train/jmk/arctic_a0360.wav,But he no longer cared quite so much for that form of diversion.,jmk
bdl_b0026,train/bdl/arctic_b0026.wav,You have associated with some of these men.,bdl
ksp_b0348,train/ksp/arctic_b0348.wav,Would you be satisfied with that one hundredth part of me.,ksp
lnh_b0233,train/lnh/arctic_b0233.wav,"So she said, the irate skipper dashed on.",lnh
ljm_a0554,train/ljm/arctic_a0554.wav,"Jack London, Waikiki Beach, Honolulu, Oahu.",ljm
aup_a0325,train/aup/arctic_a0325.wav,Whiz-zip-bang. Lop-Ear screamed with sudden anguish.,aup
aup_a0212,train/aup/arctic_a0212.wav,"Fresh cases, still able to walk, they clustered about the spokesman.",aup
aew_b0306,train/aew/arctic_b0306.wav,"Cameron looked at his hands with their long, sinewy fingers.",aew
rxr_a0056,train/rxr/arctic_a0056.wav,Pearce's little eyes were fixed on him shrewdly.,rxr
aew_b0065,train/aew/arctic_b0065.wav,"Now have you got anything to say against me, Mr Philip.",aew
jmk_b0511,train/jmk/arctic_b0511.wav,Do you value your hide.,jmk
aew_b0195,train/aew/arctic_b0195.wav,Nobody knows how the natives got them.,aew
jmk_b0479,train/jmk/arctic_b0479.wav,Violation of this law was made a high misdemeanor and punished accordingly.,jmk
ksp_b0190,train/ksp/arctic_b0190.wav,"Idealism led him to philosophic anarchy, and his family threw him off.",ksp
bdl_a0571,train/bdl/arctic_a0571.wav,He had forgotten to build a fire and thaw out.,bdl
fem_a0408,train/fem/arctic_a0408.wav,The Eldorado emptied its occupants into the street to see the test.,fem
gka_a0513,train/gka/arctic_a0513.wav,We must give ourselves and not our money alone.,gka
ahw_a0215,train/ahw/arctic_a0215.wav,They die out of spite. ,ahw
jmk_a0063,train/jmk/arctic_a0063.wav,"Yes, it was a man who asked, a stranger.",jmk
jmk_a0265,train/jmk/arctic_a0265.wav,The discovery seemed to have been made on the spur of the moment.,jmk
lnh_a0198,train/lnh/arctic_a0198.wav,Sometimes her dreams were filled with visions.,lnh
jmk_b0282,train/jmk/arctic_b0282.wav,Some of the smaller veins had doubtless been ruptured.,jmk
ksp_a0508,train/ksp/arctic_a0508.wav,Soon shall it be thrust back from off prostrate humanity.,ksp
lnh_b0470,train/lnh/arctic_b0470.wav,"The very thing, Ernest agreed.",lnh
axb_a0477,train/axb/arctic_a0477.wav,"Wada, Louis, and the steward are servants of Asiatic breed.",axb
fem_a0359,train/fem/arctic_a0359.wav,Earth and gravel seemed to fill the pan.,fem
rms_b0437,train/rms/arctic_b0437.wav,Nowhere in the North is the soil so prolific.,rms
awb_b0020,train/awb/arctic_b0020.wav,He made no reply as he waited for Whittemore to continue.,awb
slp_a0031,train/slp/arctic_a0031.wav,They were three hundred yards apart.,slp
ksp_b0070,train/ksp/arctic_b0070.wav,There was no chance to fire without hitting him.,ksp
clb_a0329,train/clb/arctic_a0329.wav,"Ah, indeed.",clb
ksp_b0516,train/ksp/arctic_b0516.wav,Zilla relaxed her sour mouth long enough to sigh her satisfaction.,ksp
slp_a0005,train/slp/arctic_a0005.wav,Will we ever forget it.,slp
axb_a0311,train/axb/arctic_a0311.wav,"Therefore, hurrah for the game.",axb
slp_a0097,train/slp/arctic_a0097.wav,Then you can arrange yourself comfortably among these robes in the bow.,slp
slt_a0549,train/slt/arctic_a0549.wav,Do you know that we weigh every pound of coal we burn.,slt
bdl_a0579,train/bdl/arctic_a0579.wav,There was the Emma Louisa.,bdl
awb_a0052,train/awb/arctic_a0052.wav,It was a curious coincidence.,awb
aew_a0065,train/aew/arctic_a0065.wav,They closed now until his fingers were like cords of steel.,aew
aew_b0460,train/aew/arctic_b0460.wav,"The more his opponents grew excited, the more Ernest deliberately excited them.",aew
bdl_b0040,train/bdl/arctic_b0040.wav,The thought set his blood tingling.,bdl
ksp_a0062,train/ksp/arctic_a0062.wav,The men stared into each other's face.,ksp
axb_a0490,train/axb/arctic_a0490.wav,Both Johnny and his mother shuffled their feet as they walked.,axb
axb_a0062,train/axb/arctic_a0062.wav,The men stared into each other's face.,axb
bdl_a0047,train/bdl/arctic_a0047.wav,Close beside him gleamed the white fangs of the wolf-dog.,bdl
bdl_b0379,train/bdl/arctic_b0379.wav,Christmas is an easy problem compared with a Polynesian giving-feast.,bdl
awb_a0222,train/awb/arctic_a0222.wav,A dead man is of no use on a plantation.,awb
clb_a0452,train/clb/arctic_a0452.wav,"Three oilers and a fourth engineer, was his greeting.",clb
rms_b0096,train/rms/arctic_b0096.wav,Within himself he called it no longer his own.,rms
slp_a0575,train/slp/arctic_a0575.wav,"There weren't any missions, and he was the man to know.",slp
ksp_a0498,train/ksp/arctic_a0498.wav,The lines were now very taut.,ksp
slt_b0261,train/slt/arctic_b0261.wav,And he did hurt my arm.,slt
lnh_a0095,train/lnh/arctic_a0095.wav,A big canvas tent was the first thing to come within his vision.,lnh
lnh_a0276,train/lnh/arctic_a0276.wav,Oolong Atoll was one hundred and forty miles in circumference.,lnh
slt_a0345,train/slt/arctic_a0345.wav,She was trying to pass the apron string around him.,slt
aew_b0206,train/aew/arctic_b0206.wav,"Horses and rifles had been her toys, camp and trail her nursery.",aew
slp_a0259,train/slp/arctic_a0259.wav,Think of investing in such an adventure.,slp
jmk_a0163,train/jmk/arctic_a0163.wav,Philip made no effort to follow.,jmk
ljm_a0350,train/ljm/arctic_a0350.wav,Is that Pat Hanrahan's mug looking hungry and willing.,ljm
slp_a0007,train/slp/arctic_a0007.wav,And you always want to see it in the superlative degree.,slp
aew_a0316,train/aew/arctic_a0316.wav,"We had been chased by them ourselves, more than once.",aew
eey_a0158,train/eey/arctic_a0158.wav,Does that look good.,eey
aew_b0215,train/aew/arctic_b0215.wav,"It is a good property, and worth more than that.",aew
rms_b0344,train/rms/arctic_b0344.wav,Lots of men take women buggy riding.,rms
lnh_b0373,train/lnh/arctic_b0373.wav,"Unlike Joshua, he stood in no need of divine assistance.",lnh
eey_a0466,train/eey/arctic_a0466.wav,"Captain West may be a Samurai, but he is also human.",eey
ahw_a0051,train/ahw/arctic_a0051.wav,"The lace was of a delicate ivory color, faintly tinted with yellow. ",ahw
axb_a0065,train/axb/arctic_a0065.wav,They closed now until his fingers were like cords of steel.,axb
bdl_a0262,train/bdl/arctic_a0262.wav,They wouldn't be sweeping a big vessel like the Martha.,bdl
slt_b0332,train/slt/arctic_b0332.wav,"As to how she dressed, he had no ideas at all.",slt
rms_b0182,train/rms/arctic_b0182.wav,I was in New York when the crash came.,rms
aew_a0403,train/aew/arctic_a0403.wav,His newborn cunning gave him poise and control.,aew
clb_a0023,train/clb/arctic_a0023.wav,A combination of Canadian capital quickly organized and petitioned for the same privileges.,clb
ljm_a0579,train/ljm/arctic_a0579.wav,There was the Emma Louisa.,ljm
lnh_b0417,train/lnh/arctic_b0417.wav,The next thing to watch out for is bed sores.,lnh
slt_a0190,train/slt/arctic_a0190.wav,Next to them the Canada jays were most persistent.,slt
rxr_a0476,train/rxr/arctic_a0476.wav,At this moment I felt a stir at my shoulder.,rxr
ksp_b0253,train/ksp/arctic_b0253.wav,The very opposite is true; they are discouraged vagabonds.,ksp
clb_b0049,train/clb/arctic_b0049.wav,"There was nothing more, except a large ink blot under the words.",clb
ksp_a0096,train/ksp/arctic_a0096.wav,Perhaps she had already met her fate a little deeper in the forest.,ksp
gka_a0257,train/gka/arctic_a0257.wav,"They are coming ashore, whoever they are.",gka
awb_b0133,train/awb/arctic_b0133.wav,There followed a roar that shook the earth.,awb
slp_a0362,train/slp/arctic_a0362.wav,"Nope, not the slightest idea.",slp
aew_b0484,train/aew/arctic_b0484.wav,This the Iron Heel foresaw and laid its schemes accordingly.,aew
jmk_b0438,train/jmk/arctic_b0438.wav,They ran the canoe in and climbed the high earth bank.,jmk
slp_a0375,train/slp/arctic_a0375.wav,The butchers and meat cutters refused to handle meat destined for unfair restaurants.,slp
rxr_a0261,train/rxr/arctic_a0261.wav,I have been doubly baptized.,rxr
jmk_b0311,train/jmk/arctic_b0311.wav,The 29th very foggy.,jmk
jmk_a0286,train/jmk/arctic_a0286.wav,Give them their choice between a fine or an official whipping.,jmk
clb_a0194,train/clb/arctic_a0194.wav,He drank of the water cautiously.,clb
aew_a0409,train/aew/arctic_a0409.wav,He could feel a new stir in the land.,aew
jmk_b0361,train/jmk/arctic_b0361.wav,"There are the canals of China, and the Yang-tse River.",jmk
slt_a0027,train/slt/arctic_a0027.wav,To my surprise he began to show actual enthusiasm in my favor.,slt
jmk_b0464,train/jmk/arctic_b0464.wav,I could not agree with Ernest.,jmk
slp_a0462,train/slp/arctic_a0462.wav,But she swung obediently on her heel into the wind.,slp
slp_a0354,train/slp/arctic_a0354.wav,Fresh meat they failed to obtain.,slp
ljm_a0294,train/ljm/arctic_a0294.wav,He had been foiled in his attempt to escape.,ljm
rms_b0023,train/rms/arctic_b0023.wav,"MacDougall, my engineer, believes it.",rms
rms_b0085,train/rms/arctic_b0085.wav,Her eyes smiled truth at him as he came up the bank.,rms
jmk_b0251,train/jmk/arctic_b0251.wav,They must have been swept away by the chaotic currents.,jmk
gka_a0430,train/gka/arctic_a0430.wav,Nevertheless we found ourselves once more in the high seat of abundance.,gka
ahw_a0358,train/ahw/arctic_a0358.wav,"They continued valiantly to lie, but the truth continued to outrun them. ",ahw
slt_a0114,train/slt/arctic_a0114.wav,Her words sent a strange chill through Philip.,slt
clb_a0366,train/clb/arctic_a0366.wav,A wildly exciting time was his during the week preceding Thursday the eighteenth.,clb
lnh_a0286,train/lnh/arctic_a0286.wav,Give them their choice between a fine or an official whipping.,lnh
jmk_a0075,train/jmk/arctic_a0075.wav,"There has been a change, she interrupted him.",jmk
rxr_a0497,train/rxr/arctic_a0497.wav,King took every advantage he knew.,rxr
eey_a0540,train/eey/arctic_a0540.wav,"Yea, so are all the lesser animals of today clean.",eey
clb_a0308,train/clb/arctic_a0308.wav,His infernal chattering worries me even now as I think of it.,clb
clb_b0296,train/clb/arctic_b0296.wav,At times I wondered where Sir Archibald got his style.,clb
ksp_b0172,train/ksp/arctic_b0172.wav,On the far corner of the compound fence a hawk brooded.,ksp
bdl_a0351,train/bdl/arctic_a0351.wav,It was more like sugar.,bdl
eey_a0107,train/eey/arctic_a0107.wav,If you only could know how I thank you.,eey
clb_b0411,train/clb/arctic_b0411.wav,"He gave no reason, but his motive was obvious enough.",clb
fem_a0081,train/fem/arctic_a0081.wav,What if she did not come to the rock.,fem
bdl_a0510,train/bdl/arctic_a0510.wav,Much more Ernest told them of themselves and of his disillusionment.,bdl
ksp_b0376,train/ksp/arctic_b0376.wav,"Thought I, and a worthy fool he proved.",ksp
rms_a0526,train/rms/arctic_a0526.wav,Nowhere did the raw earth appear.,rms
ksp_a0477,train/ksp/arctic_a0477.wav,"Wada, Louis, and the steward are servants of Asiatic breed.",ksp
rms_a0530,train/rms/arctic_a0530.wav,"Ask him, I laughed, then turned to Pasquini.",rms
slt_b0498,train/slt/arctic_b0498.wav,"I remembered the red wine of the Italian rancho, and shuddered inwardly.",slt
slp_a0481,train/slp/arctic_a0481.wav,"Nimrod replied, with a slight manifestation of sensitiveness.",slp
axb_a0518,train/axb/arctic_a0518.wav,Illuminating oil was becoming all profit.,axb
ljm_a0159,train/ljm/arctic_a0159.wav,They look as though he had been drumming a piano all his life.,ljm
lnh_a0344,train/lnh/arctic_a0344.wav,He seemed to fill it with his tremendous vitality.,lnh
bdl_a0593,train/bdl/arctic_a0593.wav,She'd make a good wife for the cashier.,bdl
slt_a0193,train/slt/arctic_a0193.wav,It was edged with ice.,slt
clb_a0315,train/clb/arctic_a0315.wav,"Saxon waited, for she knew a fresh idea had struck Billy.",clb
aew_b0531,train/aew/arctic_b0531.wav,I am sure it must have been some adventure.,aew
bdl_b0330,train/bdl/arctic_b0330.wav,They only had a little thirty thousand dollar fire.,bdl
gka_a0570,train/gka/arctic_a0570.wav,Behind him lay the thousand-years-long road across all Siberia and Russia.,gka
ljm_a0158,train/ljm/arctic_a0158.wav,Does that look good.,ljm
jmk_b0234,train/jmk/arctic_b0234.wav,"And watch out for wet feet, was his parting advice.",jmk
eey_a0327,train/eey/arctic_a0327.wav,"They were less stooped than we, less springy in their movements.",eey
eey_a0294,train/eey/arctic_a0294.wav,He had been foiled in his attempt to escape.,eey
clb_a0270,train/clb/arctic_a0270.wav,And after the bath a shave would not be bad.,clb
jmk_b0030,train/jmk/arctic_b0030.wav,Gregson held a lighted match until it burnt his fingertips.,jmk
rxr_a0308,train/rxr/arctic_a0308.wav,His infernal chattering worries me even now as I think of it.,rxr
aew_b0248,train/aew/arctic_b0248.wav,Exciting times are the lot of the fish patrol.,aew
ljm_a0219,train/ljm/arctic_a0219.wav,At first he puzzled over something untoward he was sure had happened.,ljm
awb_b0306,train/awb/arctic_b0306.wav,"Cameron looked at his hands with their long, sinewy fingers.",awb
bdl_b0525,train/bdl/arctic_b0525.wav,"New idea, he volunteered, brand new idea.",bdl
rms_a0023,train/rms/arctic_a0023.wav,A combination of Canadian capital quickly organized and petitioned for the same privileges.,rms
ahw_a0405,train/ahw/arctic_a0405.wav,It seemed the ordained order of things that dogs should work. ,ahw
slt_a0314,train/slt/arctic_a0314.wav,Thus was momentum gained in the Younger World.,slt
slp_a0314,train/slp/arctic_a0314.wav,Thus was momentum gained in the Younger World.,slp
slt_a0577,train/slt/arctic_a0577.wav,"Once the jews harp began emitting its barbaric rhythms, Michael was helpless.",slt
slp_a0011,train/slp/arctic_a0011.wav,If I ever needed a fighter in my life I need one now.,slp
slp_a0170,train/slp/arctic_a0170.wav,There was none of the joy of meeting in his face.,slp
fem_a0480,train/fem/arctic_a0480.wav,Tom Spink has a harpoon.,fem
eey_a0412,train/eey/arctic_a0412.wav,There is another virtue in these bulkheads.,eey
aew_b0182,train/aew/arctic_b0182.wav,I was in New York when the crash came.,aew
bdl_b0325,train/bdl/arctic_b0325.wav,It was a gigantic inadequacy.,bdl
rms_a0399,train/rms/arctic_a0399.wav,And here's another idea.,rms
rms_a0198,train/rms/arctic_a0198.wav,Sometimes her dreams were filled with visions.,rms
rxr_a0048,train/rxr/arctic_a0048.wav,"He looked at the handkerchief more, closely.",rxr
slt_b0345,train/slt/arctic_b0345.wav,"Daylight made no answer, and the door closed behind him.",slt
gka_a0141,train/gka/arctic_a0141.wav,It seems like a strange pointing of the hand of God.,gka
bdl_a0271,train/bdl/arctic_a0271.wav,Now please give a plain statement of what occurred.,bdl
gka_a0065,train/gka/arctic_a0065.wav,They closed now until his fingers were like cords of steel.,gka
jmk_b0502,train/jmk/arctic_b0502.wav,"And as we hurried up town, Joe Goose explained.",jmk
awb_a0465,train/awb/arctic_a0465.wav,But she swung obediently on her heel into the wind.,awb
ksp_a0157,train/ksp/arctic_a0157.wav,"He had worshiped her, as Dante might have worshiped Beatrice.",ksp
lnh_a0584,train/lnh/arctic_a0584.wav,I have long noted your thirst unquenchable.,lnh
rxr_a0030,train/rxr/arctic_a0030.wav,I had faith in them.,rxr
fem_a0530,train/fem/arctic_a0530.wav,"Ask him, I laughed, then turned to Pasquini.",fem
jmk_b0207,train/jmk/arctic_b0207.wav,"I'm as good as a man, she urged.",jmk
awb_a0588,train/awb/arctic_a0588.wav,I have long noted your thirst unquenchable.,awb
rxr_c0028,train/rxr/arctic_c0028.wav,That's the trick of it and it is as smooth as oil.,rxr
aew_a0263,train/aew/arctic_a0263.wav,"Joan looked triumphantly at Sheldon, who bowed.",aew
awb_a0192,train/awb/arctic_a0192.wav,Next to them the Canada jays were most persistent.,awb
slt_a0351,train/slt/arctic_a0351.wav,It was more like sugar.,slt
slt_a0134,train/slt/arctic_a0134.wav,He obeyed the pressure of her hand.,slt
jmk_a0381,train/jmk/arctic_a0381.wav,My name's Ferguson.,jmk
axb_a0508,train/axb/arctic_a0508.wav,Soon shall it be thrust back from off prostrate humanity.,axb
fem_a0169,train/fem/arctic_a0169.wav,Suddenly Jeanne stopped for an instant.,fem
axb_a0221,train/axb/arctic_a0221.wav,I don't know why you're here at all.,axb
ahw_a0391,train/ahw/arctic_a0391.wav,But he reconciled himself to it by an act of faith. ,ahw
slp_a0568,train/slp/arctic_a0568.wav,"He was just bursting with joy, joy over what.",slp
gka_a0241,train/gka/arctic_a0241.wav,I think it's much nicer to quarrel.,gka
bdl_a0493,train/bdl/arctic_a0493.wav,"The boy, O'Brien, was specially maltreated.",bdl
aew_a0356,train/aew/arctic_a0356.wav,You don't catch me at any such foolishness.,aew
slt_a0021,train/slt/arctic_a0021.wav,It fairly clubbed me into recognizing it.,slt
ahw_a0437,train/ahw/arctic_a0437.wav,By that answer my professional medical prestige stood or fell. ,ahw
clb_a0117,train/clb/arctic_a0117.wav,"She added, with genuine sympathy in her face and voice.",clb
slt_b0230,train/slt/arctic_b0230.wav,"Now run along, and tell them to hurry.",slt
ksp_a0513,train/ksp/arctic_a0513.wav,We must give ourselves and not our money alone.,ksp
aew_b0320,train/aew/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter.,aew
aup_a0003,train/aup/arctic_a0003.wav,For the twentieth time that evening the two men shook hands.,aup
rxr_a0112,train/rxr/arctic_a0112.wav,He was wounded in the arm.,rxr
